name,ring,quadrant,isNew,description
Decoupling Deployments from Release,Adopt,Techniques,TRUE,"<p>Test Implementing <a href=""http://martinfowler.com/bliki/ContinuousDelivery.html"" target=""_blank"">Continuous Delivery</a> continues to be a challenge for many organizations, and it remains important to highlight useful techniques such as <strong>decoupling deployment from release</strong>. We recommend strictly using the term <em>Deployment</em> when referring to the act of deploying a change to application components or infrastructure. The term <em>Release</em> should be used when a feature change is released to end users, with a business impact. Using techniques such as feature toggles and dark launches, we can deploy changes to production systems more frequently without releasing features. More-frequent deployments reduce the risk associated with change, while business stakeholders retain control over when features are released to end users.</p>"
TDD,Adopt,Techniques,FALSE,<p>Test Driven Development is a technique that has been valuable for us to ensure that all of our code is self tested. This enables teams to make changes and refactor with confidence without needing to perform a significant amount of manual or regression testing.</p>
Pragmatic Remote Pairing,Adopt,Techniques,FALSE,"<p>We firmly believe that <a href=""https://martinfowler.com/articles/on-pair-programming.html"" target=""_blank"">pair programming</a> improves the quality of code, spreads knowledge throughout a team and allows overall faster delivery of software. In a post COVID-19 world, however, many software teams will be distributed or fully remote, and in this situation we recommend <strong>pragmatic remote pairing</strong>: adjusting pairing practices to what's possible given the tools at hand. Consider tools such as <a href=""https://www.thoughtworks.com/radar/tools/visual-studio-live-share"">Visual Studio Live Share</a> for efficient, low-latency collaboration. Only resort to pixel-sharing if both participants reside in relative geographic proximity and have high-bandwidth internet connections. Pair developers who are in similar time zones rather than expecting pairing to work between participants regardless of their location. If pairing isn't working for logistical reasons, fall back to practices such as individual programming augmented via code reviews, pull-request collaboration (but beware <a href=""https://www.thoughtworks.com/radar/techniques/long-lived-branches-with-gitflow"">long-lived branches with Gitflow</a>) or shorter pairing sessions for critical parts of the code. We've engaged in remote pairing for years, and we've found it to be effective if done with a dose of pragmatism.</p>"
Trunk Based Development,Adopt,Techniques,FALSE,"<p>Trunk-based development is a version control management practice where developers merge small, frequent updates to a core “trunk” or main branch. Since it streamlines merging and integration phases, it helps achieve CI/CD and increases software delivery and organizational performance.</p>"
Consumer-driven Contract testing ,Adopt,Techniques,TRUE,"<p>We’ve decided to bring <strong>consumer-driven contract testing</strong> back from the archive for this edition even though we had allowed it to fade in the past. The concept isn’t new, but with the mainstream acceptance of microservices, we need to remind people that <a href=""http://www.martinfowler.com/articles/consumerDrivenContracts.html"" target=""_blank"">consumer-driven contracts</a> are an essential part of a mature <a href=""http://martinfowler.com/articles/microservice-testing/"" target=""_blank"">microservice testing</a> portfolio, enabling independent service deployments. But in addition, we want to point out that consumer-driven contract testing is a technique and an attitude that requires no special tool to implement. We love frameworks like <a href=""https://github.com/realestate-com-au/pact"" target=""_blank"">Pact</a> because they make proper contract tests easier to implement in certain contexts. But we have noticed a tendency for teams to focus on the framework rather than on the general practice. Writing Pact tests is not a guarantee that you are creating consumer-driven contracts; likewise, in many situations you should be creating good consumer-driven contracts even where no pre-built testing tool exists.</p>"
Docker for builds,Adopt,Techniques,FALSE,"<p>One of the many innovative uses of <a href=""https://www.docker.com/"" target=""_blank"">Docker</a> that we’ve seen on our projects is a technique to manage build-time dependencies. In the past, it was common to run build agents on an OS, augmented with dependencies needed for the target build. But with Docker it is possible to run the compilation step in an isolated environment complete with dependencies without contaminating the build agent. This technique of using <strong>Docker for builds</strong>  has proven particularly useful for compiling Golang binaries, and the <a href=""https://github.com/CenturyLinkLabs/golang-builder"" target=""_blank"">golang-builder</a> container is available for this very purpose.</p>"
Pipelines for Infrastructure as Code,Adopt,Techniques,FALSE,"<p>The use of continuous delivery pipelines to orchestrate the release process for software has become a mainstream concept. CI/CD tools can be used to test server configuration (e.g., Chef cookbooks, Puppet modules, Ansible playbooks), server image building (e.g., <a href=""https://www.thoughtworks.com/radar/tools/packer"">Packer</a>), environment provisioning (e.g., <a href=""https://www.thoughtworks.com/radar/tools/terraform"">Terraform</a>, CloudFormation) and the integration of environments. The use of <strong>pipelines for infrastructure as code</strong> lets you find errors before changes are applied to operational environments — including environments used for development and testing. They also offer a way to ensure that infrastructure tooling is run consistently, using CI/CD agents rather than individual workstations. Our teams have had good results adopting this technique on their projects.</p>"
Ligthweight Architecture Decision Records,Adopt,Techniques,FALSE,"<p>Much documentation can be replaced with highly readable code and tests. In a world of <a href=""https://www.thoughtworks.com/radar/techniques/evolutionary-architecture"">evolutionary architecture</a>, however, it's important to record certain design decisions for the benefit of future team members as well as for external oversight. <strong>Lightweight Architecture Decision Records</strong> is a <a href=""http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions"" target=""_blank"">technique</a> for capturing important architectural decisions along with their context and consequences. We recommend <a href=""http://github.com/npryce/adr-tools"" target=""_blank"">storing these details in source control</a>, instead of a wiki or website, as then they can provide a record that remains in sync with the code itself. For most projects, we see no reason why you wouldn't want to use this technique. All teams should maintain this lightweight documentation within their services and elevate any cross cutting concerns at the portfolio level.</p>"
Performance Testing as a First Class Citizen,Adopt,Techniques,FALSE,"<p>While unit and acceptance testing are widely embraced as standard development practices, this trend has not continued into the realm of performance testing. Currently, the common tooling drives testers towards creating throw away code and a click-and-script mentality. Treating performance testing as a first-class citizen enables the creation of better tests that cover more functionality, leading to better tooling to create and run performance tests, resulting in a test suite that is maintainable and can itself be tested.</p>"
Micro frontends,Adopt,Techniques,TRUE,"<p>We've seen significant benefits from introducing <a href=""https://martinfowler.com/articles/microservices.html"" target=""_blank"">microservices</a>, which have allowed teams to scale the delivery of independently deployed and maintained services. Unfortunately, we've also seen many teams create a front-end monolith — a large, entangled browser application that sits on top of the back-end services — largely neutralizing the benefits of microservices. <strong>Micro frontends</strong> have continued to gain in popularity since they were first introduced. We've seen many teams adopt some form of this architecture as a way to manage the complexity of multiple developers and teams contributing to the same user experience. In June of last year, one of the originators of this technique published an <a href=""https://martinfowler.com/articles/micro-frontends.html"" target=""_blank"">introductory article</a> that serves as a reference for micro frontends. It shows how this style can be implemented using various web programming mechanisms and builds out an example application using <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/react-js"">React.js</a>. We're confident this style will grow in popularity as larger organizations try to decompose UI development across multiple teams.</p>"
Pipelines as Code,Adopt,Techniques,FALSE,"<p>The <strong>pipelines as code</strong> technique emphasizes that the configuration of delivery pipelines that build, test and deploy our applications or infrastructure should be treated as code; they should be placed under source control and modularized in reusable components with automated testing and deployment. As organizations move to decentralized autonomous teams building <a href=""https://martinfowler.com/articles/microservices.html"" target=""_blank"">microservices</a> or <a href=""https://www.thoughtworks.com/radar/techniques/micro-frontends"">micro frontends</a>, the need for engineering practices in managing pipelines as code increases to keep building and deploying software consistent within the organization. This need has given rise to delivery pipeline templates and tooling that enable a standardized way to build and deploy services and applications. Such tools use the <em>declarative delivery pipelines</em> of applications, adopting a pipeline blueprint to execute the underlying tasks for various stages of a delivery lifecycle such as build, test and deployment; and they abstract away implementation details. The ability to build, test and deploy pipelines as code should be one of the evaluation criteria for choosing a CI/CD tool.</p>"
Mutation Testing,Trial,Techniques,FALSE,<p>We are currently experimeting with mutation testing in order to essentially determine the quality of our tests. Mutation testing automates the process of changing code in order to determine if there is optimal test scenarios written. This goes beyond the basic code coverage metric and can be an addition to understand the quality of the test suite. They are quite intensive to run so we will need to continue to determine how we can run these tests on a periodic basis in our pipelines.</p>
